Tiro N,Color,Coordenada X,Coordenada Y,Valor Pixel
88,No blanco,125,110,162
89,Blanco,145,172,255
90,Blanco,168,186,255
91,No blanco,167,136,162
92,Blanco,50,196,255
93,Blanco,183,41,254
94,No blanco,136,102,162
95,Blanco,88,48,255
96,Blanco,16,203,255
97,Blanco,90,46,255
98,Blanco,204,103,255
99,Blanco,5,10,255
100,No blanco,147,58,159
101,Blanco,196,158,255
102,No blanco,153,160,162
103,Blanco,121,16,255
104,Blanco,200,155,255
105,No blanco,122,88,162
106,No blanco,107,34,160
107,Blanco,116,6,255
108,Blanco,191,31,255
109,Blanco,56,82,255
110,No blanco,125,171,162
111,No blanco,108,134,162
112,Blanco,153,183,255
113,Blanco,201,131,255
114,No blanco,114,64,162
115,No blanco,121,155,162
116,Blanco,105,26,253
117,Blanco,188,194,255
118,Blanco,115,168,253
119,Blanco,205,149,255
120,Blanco,72,62,255
121,Blanco,59,48,255
122,No blanco,72,112,162
123,No blanco,61,146,158
124,Blanco,182,191,255
125,No blanco,82,115,162
126,Blanco,158,195,255
127,Blanco,1,154,255
128,Blanco,84,69,254
129,Blanco,163,60,253
130,Blanco,1,160,255
131,No blanco,119,82,162
132,Blanco,183,193,255
133,Blanco,219,117,255
134,Blanco,146,205,255
135,Blanco,162,27,255
136,Blanco,173,2,255
137,No blanco,108,147,162
138,No blanco,170,127,162
139,Blanco,128,210,255
140,Blanco,85,158,255
141,Blanco,110,14,255
142,Blanco,204,179,255
143,Blanco,99,216,255
144,Blanco,14,52,255
145,No blanco,176,130,162
146,No blanco,102,89,162
147,Blanco,224,20,255
148,Blanco,164,172,254
149,Blanco,198,27,255
150,No blanco,170,114,162
151,Blanco,52,203,255
152,Blanco,96,49,254
153,Blanco,75,156,253
154,Blanco,87,52,255
155,Blanco,148,52,253
156,Blanco,25,22,255
157,Blanco,70,16,255
158,Blanco,64,178,255
159,Blanco,72,102,255
160,No blanco,168,140,162
161,No blanco,133,121,162
162,Blanco,203,71,255
163,No blanco,143,84,162
164,No blanco,126,195,162
165,Blanco,99,10,255
166,No blanco,132,193,157
167,No blanco,42,117,162
168,No blanco,144,53,160
169,Blanco,68,163,255
170,Blanco,22,160,255
171,Blanco,43,133,255
172,No blanco,113,93,162
173,Blanco,102,14,255
174,Blanco,88,58,255
175,Blanco,40,198,255
176,No blanco,99,97,162
177,No blanco,103,62,162
178,Blanco,42,208,255
179,Blanco,59,7,255
180,Blanco,39,149,255
181,Blanco,208,224,255
182,No blanco,124,122,162
183,Blanco,219,110,255
184,Blanco,206,45,255
185,Blanco,87,224,255
186,No blanco,111,97,162
187,No blanco,109,165,162
188,Blanco,207,136,255
189,No blanco,61,110,162
190,Blanco,48,127,210
191,Blanco,203,223,255
192,Blanco,124,29,255
193,Blanco,218,40,255
194,Blanco,192,194,255
195,Blanco,103,176,254
196,No blanco,166,64,162
197,Blanco,203,98,255
198,Blanco,212,140,255
199,No blanco,44,113,162
200,Blanco,14,186,255
201,No blanco,122,115,162
202,No blanco,166,72,162
203,No blanco,134,94,162
204,Blanco,138,220,255
205,Blanco,4,72,255
206,Blanco,171,191,255
207,No blanco,148,76,162
208,Blanco,106,174,253
209,Blanco,136,215,255
210,Blanco,204,135,255
211,Blanco,8,129,255
212,Blanco,88,214,255
213,Blanco,18,25,255
214,No blanco,117,161,162
215,Blanco,79,151,236
216,Blanco,46,1,255
217,Blanco,202,5,255
218,No blanco,99,166,162
219,Blanco,198,166,255
220,No blanco,188,55,162
221,Blanco,56,213,255
222,Blanco,98,214,255
223,No blanco,97,113,162
224,No blanco,163,143,162
225,No blanco,72,113,162
226,Blanco,60,179,255
227,Blanco,147,173,254
228,Blanco,84,16,255
229,Blanco,78,21,255
230,Blanco,172,173,255
231,Blanco,89,159,200
232,Blanco,24,144,255
233,Blanco,208,47,255
234,Blanco,58,76,255
235,Blanco,135,197,254
236,Blanco,220,73,255
237,Blanco,14,31,255
238,No blanco,150,130,162
239,Blanco,198,155,255
240,Blanco,60,38,255
241,Blanco,168,198,255
242,Blanco,181,192,255
243,Blanco,33,88,255
244,Blanco,178,224,255
245,Blanco,220,200,255
246,Blanco,65,103,255
247,Blanco,29,187,255
248,Blanco,70,199,255
249,Blanco,155,209,255
250,Blanco,104,187,255
251,Blanco,181,14,255
252,No blanco,96,114,162
253,Blanco,72,45,255
254,Blanco,164,200,255
255,Blanco,47,108,253
256,Blanco,19,23,255
257,Blanco,17,113,255
258,Blanco,216,17,255
259,Blanco,223,161,255
260,Blanco,27,127,255
261,Blanco,65,161,255
262,Blanco,144,212,255
263,Blanco,211,67,255
264,No blanco,145,151,162
265,Blanco,140,214,255
266,Blanco,29,210,255
267,Blanco,55,207,255
268,Blanco,197,159,255
269,Blanco,23,0,255
270,No blanco,68,122,162
271,No blanco,156,172,162
272,Blanco,187,128,254
273,Blanco,65,78,255
274,Blanco,209,110,255
275,No blanco,85,113,162
276,No blanco,141,126,162
277,No blanco,93,173,162
278,No blanco,81,115,162
279,Blanco,156,46,255
280,Blanco,201,123,255
281,Blanco,50,202,255
282,Blanco,205,87,255
283,Blanco,52,176,255
284,No blanco,109,49,162
285,No blanco,150,119,162
286,Blanco,38,167,255
287,Blanco,123,11,255
288,No blanco,155,85,162
289,No blanco,108,131,162
290,Blanco,73,177,253
291,Blanco,194,80,255
292,Blanco,23,86,255
293,Blanco,87,212,255
294,Blanco,8,16,255
295,Blanco,211,57,255
296,Blanco,76,45,255
297,No blanco,157,169,162
298,Blanco,77,216,255
299,Blanco,65,215,255
300,Blanco,187,211,255
301,Blanco,53,2,255
302,Blanco,183,218,255
303,Blanco,48,3,255
304,Blanco,84,17,255
305,Blanco,4,87,255
306,No blanco,151,105,162
307,Blanco,220,160,255
308,No blanco,102,92,162
309,Blanco,201,118,255
310,Blanco,12,209,255
311,Blanco,139,209,255
312,Blanco,205,39,255
313,Blanco,38,16,255
314,No blanco,80,122,162
315,Blanco,15,59,255
316,Blanco,48,169,255
317,Blanco,27,188,255
318,No blanco,41,121,162
319,No blanco,182,66,162
320,Blanco,11,64,255
321,Blanco,65,132,255
322,Blanco,127,219,255
323,Blanco,211,166,255
324,Blanco,197,215,255
325,Blanco,58,152,254
326,Blanco,30,140,255
327,Blanco,0,7,255
328,Blanco,17,90,255
329,Blanco,115,1,255
330,No blanco,126,111,162
331,No blanco,176,84,162
332,Blanco,192,48,255
333,Blanco,20,46,255
334,Blanco,61,24,255
335,Blanco,141,191,255
336,Blanco,142,18,255
337,Blanco,223,213,255
338,No blanco,128,161,162
339,No blanco,180,52,162
340,No blanco,154,67,162
341,Blanco,71,67,255
342,Blanco,24,12,255
343,Blanco,17,120,255
344,No blanco,173,111,162
345,Blanco,161,30,255
346,Blanco,37,77,255
347,No blanco,66,116,162
348,No blanco,104,102,162
349,Blanco,210,111,255
350,Blanco,70,170,255
351,Blanco,210,152,255
352,Blanco,38,103,255
353,Blanco,63,89,255
354,Blanco,1,143,255
355,Blanco,178,41,253
356,Blanco,214,52,255
357,Blanco,195,217,255
358,Blanco,45,220,255
359,No blanco,168,114,162
360,Blanco,99,179,255
361,Blanco,211,90,255
362,No blanco,55,122,162
363,Blanco,186,192,255
364,Blanco,143,25,255
365,Blanco,54,99,255
366,Blanco,52,136,255
367,Blanco,58,103,255
368,Blanco,78,194,217
369,Blanco,163,217,255
370,Blanco,45,143,255
371,Blanco,73,207,255
372,Blanco,62,2,255
373,Blanco,150,3,255
374,Blanco,26,5,255
375,No blanco,140,157,162
376,Blanco,61,212,255
377,Blanco,112,217,255
378,Blanco,82,156,255
379,Blanco,68,80,255
380,Blanco,21,3,255
381,Blanco,203,146,255
382,Blanco,34,50,255
383,Blanco,50,162,255
384,Blanco,52,210,255
385,No blanco,165,110,162
386,No blanco,106,134,162
387,Blanco,187,19,255
388,Blanco,112,192,253
389,Blanco,142,1,255
390,Blanco,25,140,255
391,Blanco,8,54,255
392,Blanco,162,193,255
393,Blanco,107,199,255
394,No blanco,168,79,162
395,Blanco,26,148,255
396,Blanco,51,200,255
397,Blanco,3,23,255
398,No blanco,171,54,159
399,No blanco,176,68,162
400,No blanco,189,167,194
401,Blanco,193,164,253
402,No blanco,127,151,162
403,No blanco,85,118,162
404,No blanco,137,128,162
405,Blanco,75,54,255
406,Blanco,78,154,254
407,No blanco,158,81,162
408,Blanco,3,161,255
409,No blanco,104,149,162
410,Blanco,91,29,255
411,No blanco,85,181,162
412,Blanco,181,193,255
413,Blanco,45,173,255
414,Blanco,171,163,253
415,Blanco,30,165,255
416,Blanco,56,19,255
417,Blanco,135,16,255
418,No blanco,106,91,162
419,Blanco,10,23,255
420,Blanco,185,34,255
421,Blanco,36,164,255
422,Blanco,217,72,255
423,Blanco,158,190,255
424,Blanco,224,145,255
425,No blanco,157,150,162
426,No blanco,144,72,162
427,Blanco,18,175,255
428,No blanco,109,87,162
429,Blanco,24,113,255
430,Blanco,0,161,255
431,Blanco,34,83,255
432,Blanco,195,131,255
433,Blanco,218,81,255
434,Blanco,79,22,255
435,Blanco,116,41,255
436,No blanco,151,133,162
437,Blanco,87,71,255
438,Blanco,16,147,255
439,Blanco,88,60,255
440,No blanco,190,116,162
441,Blanco,203,156,255
442,Blanco,159,223,255
443,Blanco,176,7,255
444,Blanco,206,22,255
445,No blanco,163,107,162
446,Blanco,190,100,255
447,Blanco,24,131,255
448,No blanco,175,106,162
449,No blanco,128,139,162
450,No blanco,178,148,162
451,Blanco,130,215,255
452,No blanco,55,123,162
453,Blanco,37,166,255
454,Blanco,106,218,255
455,Blanco,34,75,255
456,Blanco,203,202,255
457,Blanco,14,51,255
458,Blanco,46,151,255
459,Blanco,90,68,255
460,Blanco,42,138,255
461,Blanco,222,190,255
462,Blanco,172,203,255
463,No blanco,193,158,178
464,Blanco,182,173,255
465,Blanco,175,9,255
466,Blanco,16,146,255
467,Blanco,64,177,255
468,Blanco,63,137,255
469,No blanco,171,132,162
470,No blanco,155,142,162
471,Blanco,188,86,255
472,No blanco,153,128,162
473,Blanco,191,80,255
474,Blanco,82,6,255
475,Blanco,72,206,255
476,Blanco,195,83,255
477,No blanco,126,125,162
478,No blanco,96,169,163
479,No blanco,109,141,162
480,Blanco,128,42,255
481,Blanco,216,107,255
482,Blanco,221,9,255
483,Blanco,195,211,255
484,No blanco,167,63,162
485,Blanco,75,192,232
486,Blanco,206,108,255
487,Blanco,15,78,255
488,No blanco,110,72,162
489,Blanco,79,202,255
490,Blanco,13,114,255
491,Blanco,53,61,255
492,Blanco,17,25,255
493,No blanco,73,142,162
494,Blanco,200,31,255
495,Blanco,62,141,253
496,Blanco,139,223,255
497,Blanco,8,78,255
498,No blanco,185,60,162
499,Blanco,192,122,254
500,Blanco,10,83,255
501,No blanco,168,99,162
502,No blanco,81,146,162
503,Blanco,18,74,255
504,No blanco,82,90,162
505,No blanco,164,150,162
506,No blanco,86,190,162
507,Blanco,23,113,255
508,Blanco,51,221,255
509,Blanco,132,212,255
510,No blanco,135,57,168
511,No blanco,89,185,162
512,Blanco,171,21,255
513,Blanco,205,212,255
514,Blanco,105,213,255
515,No blanco,109,80,162
516,No blanco,61,116,162
517,Blanco,216,204,255
518,Blanco,136,171,255
519,No blanco,92,70,158
520,Blanco,196,28,255
521,No blanco,117,97,162
522,Blanco,3,71,255
523,Blanco,172,4,255
524,Blanco,11,137,255
525,Blanco,39,34,255
526,Blanco,174,30,255
527,Blanco,213,120,255
528,Blanco,40,9,255
529,Blanco,157,17,255
530,No blanco,119,123,162
531,Blanco,185,221,255
532,No blanco,143,95,162
533,Blanco,78,46,255
534,Blanco,26,205,255
535,Blanco,52,179,255
536,No blanco,96,150,162
537,Blanco,205,38,255
538,Blanco,154,10,255
539,Blanco,150,200,255
540,Blanco,72,3,255
541,Blanco,59,130,255
542,Blanco,179,186,255
543,Blanco,45,8,255
544,No blanco,142,107,162
545,Blanco,91,224,255
546,Blanco,149,20,255
547,No blanco,96,140,162
548,Blanco,24,99,255
549,No blanco,187,67,160
550,Blanco,223,30,255
551,No blanco,122,128,162
552,Blanco,27,138,255
553,Blanco,163,194,255
554,Blanco,58,208,255
555,Blanco,43,206,255
556,Blanco,219,197,255
557,Blanco,19,193,255
558,Blanco,190,192,255
559,Blanco,205,68,255
560,Blanco,39,134,255
561,Blanco,51,210,255
562,No blanco,106,158,162
563,No blanco,99,128,162
564,Blanco,2,54,255
565,Blanco,168,174,255
566,Blanco,52,170,255
567,No blanco,32,121,162
568,Blanco,77,8,255
569,Blanco,207,43,255
570,No blanco,122,163,162
571,Blanco,117,11,255
572,Blanco,152,203,255
573,No blanco,80,147,160
574,Blanco,96,208,255
575,Blanco,185,6,255
576,Blanco,204,35,255
577,Blanco,32,141,255
578,No blanco,80,125,162
579,Blanco,213,31,255
580,Blanco,12,50,255
581,Blanco,189,9,255
582,Blanco,34,18,255
583,Blanco,76,154,253
584,No blanco,143,127,162
585,Blanco,58,14,255
586,Blanco,194,200,255
587,Blanco,108,196,255
588,No blanco,144,80,162
589,Blanco,178,19,255
590,No blanco,108,84,162
591,Blanco,96,6,255
592,Blanco,25,210,255
593,Blanco,207,164,255
594,No blanco,89,127,162
595,No blanco,140,160,162
596,Blanco,171,170,255
597,Blanco,60,168,255
598,No blanco,115,103,162
599,Blanco,2,39,255
600,Blanco,78,9,255
601,Blanco,204,206,255
602,Blanco,215,94,255
603,Blanco,51,185,255
604,Blanco,48,95,255
605,No blanco,72,136,158
606,Blanco,24,25,255
607,No blanco,88,129,162
608,No blanco,84,137,162
609,No blanco,99,167,162
610,Blanco,27,128,255
611,Blanco,163,161,254
612,Blanco,45,210,255
613,Blanco,64,56,255
614,Blanco,182,32,255
615,Blanco,67,183,255
616,No blanco,188,66,168
617,Blanco,180,37,255
618,Blanco,180,38,255
619,Blanco,65,182,255
620,Blanco,213,215,255
621,No blanco,180,125,158
622,Blanco,69,55,255
623,Blanco,52,83,255
624,Blanco,141,167,254
625,Blanco,74,166,255
626,Blanco,9,110,255
627,Blanco,104,174,251
628,Blanco,4,154,255
629,No blanco,164,141,162
630,Blanco,184,12,255
631,Blanco,4,179,255
632,Blanco,63,217,255
633,Blanco,149,217,255
634,Blanco,121,218,255
635,Blanco,60,18,255
636,Blanco,63,177,255
637,Blanco,51,190,255
638,No blanco,182,106,162
639,Blanco,219,72,255
640,Blanco,202,195,255
641,No blanco,126,175,162
642,Blanco,83,55,255
643,Blanco,40,222,255
644,No blanco,43,124,162
645,No blanco,110,164,162
646,Blanco,57,132,255
647,Blanco,1,169,255
648,Blanco,39,44,255
649,Blanco,223,50,255
650,Blanco,178,189,255
651,Blanco,42,136,255
652,Blanco,224,125,255
653,Blanco,17,148,255
654,Blanco,167,3,255
655,Blanco,22,2,255
656,Blanco,59,195,255
657,Blanco,188,96,255
658,Blanco,209,101,255
659,No blanco,136,123,162
660,Blanco,156,6,255
661,Blanco,111,216,255
662,Blanco,49,81,255
663,Blanco,15,66,255
664,Blanco,162,177,255
665,Blanco,202,113,255
666,Blanco,56,90,255
667,Blanco,82,43,255
668,Blanco,19,205,255
669,Blanco,69,174,255
670,No blanco,167,111,162
671,Blanco,217,101,255
672,No blanco,100,32,162
673,No blanco,108,152,162
674,No blanco,156,143,162
675,Blanco,158,182,255
676,Blanco,222,189,255
677,Blanco,190,0,255
678,Blanco,38,66,255
679,Blanco,211,21,255
680,No blanco,178,146,162
681,No blanco,123,180,162
682,Blanco,141,18,255
683,Blanco,194,140,255
684,Blanco,133,2,255
685,Blanco,43,3,255
686,Blanco,222,18,255
687,No blanco,147,104,162
688,No blanco,86,85,162
689,No blanco,151,94,162
690,Blanco,2,107,255
691,Blanco,96,20,255
692,No blanco,170,83,162
693,Blanco,183,38,255
694,No blanco,150,166,162
695,Blanco,20,180,255
696,Blanco,25,0,255
697,Blanco,208,217,255
698,Blanco,92,8,255
699,Blanco,104,1,255
700,Blanco,37,4,255
701,No blanco,107,172,157
702,No blanco,128,142,162
703,Blanco,195,127,255
704,Blanco,47,94,255
705,Blanco,32,163,255
706,Blanco,73,15,255
707,Blanco,195,119,255
708,Blanco,77,87,253
709,Blanco,124,52,255
710,Blanco,44,75,255
711,Blanco,44,150,255
712,Blanco,15,65,255
713,Blanco,19,22,255
714,No blanco,110,123,162
715,Blanco,177,28,255
716,No blanco,114,101,162
717,Blanco,145,13,255
718,No blanco,161,106,162
719,No blanco,86,98,162
720,Blanco,115,171,246
721,Blanco,166,176,255
722,No blanco,143,134,162
723,Blanco,156,26,255
724,No blanco,188,150,162
725,Blanco,29,143,255
726,Blanco,155,1,255
727,Blanco,123,37,255
728,No blanco,153,129,162
729,No blanco,118,143,162
730,Blanco,23,115,255
731,Blanco,110,187,253
732,Blanco,217,26,255
733,No blanco,173,123,162
734,No blanco,124,104,162
735,Blanco,120,21,255
736,Blanco,63,102,255
737,No blanco,94,147,162
738,No blanco,155,118,162
739,No blanco,121,158,162
740,Blanco,132,49,255
741,Blanco,39,209,255
742,Blanco,102,224,255
743,No blanco,167,149,162
744,Blanco,131,207,255
745,Blanco,33,170,255
746,Blanco,185,0,255
747,No blanco,95,36,162
748,Blanco,196,211,255
749,Blanco,88,218,255
750,No blanco,181,52,162
751,Blanco,223,193,255
752,Blanco,159,186,255
753,Blanco,35,173,255
754,Blanco,67,68,255
755,Blanco,86,224,255
756,Blanco,196,161,255
757,No blanco,177,64,162
758,Blanco,85,2,255
759,Blanco,139,192,255
760,No blanco,83,190,162
761,Blanco,61,171,255
762,Blanco,58,89,255
763,Blanco,43,9,255
764,Blanco,120,3,255
765,No blanco,106,34,162
766,Blanco,73,58,255
767,No blanco,79,119,162
768,No blanco,141,160,162
769,Blanco,152,210,255
770,No blanco,125,113,162
771,No blanco,144,113,162
772,Blanco,22,57,255
773,Blanco,19,183,255
774,Blanco,34,211,255
775,Blanco,70,81,255
776,Blanco,180,183,255
777,Blanco,180,207,255
778,Blanco,132,50,255
779,Blanco,188,146,246
780,Blanco,221,57,255
781,Blanco,208,153,255
782,No blanco,187,47,160
783,Blanco,173,41,253
784,Blanco,125,201,253
785,No blanco,101,118,162
786,Blanco,15,98,255
787,Blanco,133,47,255
788,Blanco,3,37,255
789,Blanco,16,175,255
790,Blanco,207,196,255
791,Blanco,1,174,255
792,No blanco,99,70,162
793,Blanco,104,21,255
794,Blanco,133,13,255
795,Blanco,217,67,255
796,Blanco,221,69,255
797,Blanco,42,60,255
798,Blanco,4,11,255
799,Blanco,192,66,255
800,Blanco,82,209,255
801,Blanco,136,209,255
802,Blanco,75,204,255
803,Blanco,58,97,255
804,Blanco,210,72,255
805,No blanco,79,194,189
806,No blanco,130,186,162
807,Blanco,17,53,255
808,Blanco,43,220,255
809,No blanco,122,90,162
810,Blanco,219,91,255
811,Blanco,84,157,255
812,Blanco,86,67,255
813,No blanco,136,67,162
814,Blanco,198,79,255
815,Blanco,212,184,255
816,Blanco,134,4,255
817,Blanco,21,162,255
818,Blanco,169,223,255
819,Blanco,6,209,255
820,Blanco,86,48,255
821,Blanco,190,221,255
822,No blanco,128,88,162
823,Blanco,51,171,255
824,Blanco,10,38,255
825,Blanco,76,71,255
826,Blanco,134,207,255
827,No blanco,98,166,162
828,No blanco,154,68,162
829,Blanco,221,190,255
830,Blanco,49,185,255
831,No blanco,145,68,162
832,Blanco,164,208,255
833,Blanco,61,44,255
834,Blanco,198,21,255
835,No blanco,171,126,162
836,Blanco,4,61,255
837,No blanco,86,145,162
838,No blanco,103,58,162
839,Blanco,40,86,255
840,Blanco,43,84,255
841,Blanco,200,179,255
842,Blanco,60,2,255
843,Blanco,46,174,255
844,Blanco,159,43,255
845,Blanco,64,28,255
846,Blanco,201,0,255
847,No blanco,75,105,160
848,Blanco,18,143,255
849,No blanco,103,171,162
850,Blanco,85,43,255
851,Blanco,210,99,255
852,Blanco,150,39,255
853,Blanco,86,217,255
854,Blanco,65,45,255
855,No blanco,156,150,162
856,Blanco,43,156,255
857,Blanco,219,187,255
858,Blanco,69,222,255
859,Blanco,0,22,255
860,Blanco,194,84,255
861,No blanco,80,132,162
862,No blanco,148,68,162
863,Blanco,197,112,255
864,No blanco,125,109,162
865,Blanco,125,21,255
866,No blanco,107,135,162
867,Blanco,32,28,255
868,Blanco,212,125,255
869,Blanco,65,156,230
870,Blanco,57,58,255
871,Blanco,72,96,255
872,Blanco,152,49,255
873,Blanco,23,169,255
874,Blanco,144,15,255
875,No blanco,165,147,162
876,Blanco,34,160,255
877,Blanco,197,86,255
878,Blanco,126,211,255
879,Blanco,49,61,255
880,Blanco,65,81,255
881,Blanco,54,172,255
882,No blanco,102,117,162
883,Blanco,31,214,255
884,Blanco,68,217,255
885,No blanco,166,87,162
886,Blanco,198,53,255
887,Blanco,160,36,255
888,Blanco,78,37,255
889,No blanco,93,93,162
890,Blanco,43,138,255
891,Blanco,155,15,255
892,Blanco,18,148,255
893,Blanco,66,176,255
894,Blanco,130,41,255
895,Blanco,201,5,255
896,Blanco,52,157,255
897,Blanco,49,72,255
898,Blanco,20,38,255
899,Blanco,190,174,255
900,Blanco,189,0,255
901,Blanco,5,156,255
902,Blanco,141,201,255
903,Blanco,206,13,255
904,Blanco,3,117,255
905,No blanco,164,155,162
906,Blanco,18,0,255
907,Blanco,221,47,255
908,Blanco,106,181,255
909,Blanco,19,52,255
910,No blanco,148,126,162
911,No blanco,121,174,162
912,Blanco,31,35,255
913,Blanco,40,157,255
914,Blanco,219,144,255
915,No blanco,130,110,162
916,No blanco,170,142,162
917,Blanco,28,32,255
918,No blanco,122,178,162
919,No blanco,126,117,162
920,Blanco,30,32,255
921,Blanco,13,89,255
922,No blanco,157,109,162
923,No blanco,82,134,162
924,Blanco,202,84,255
925,No blanco,115,136,162
926,Blanco,51,150,255
927,No blanco,89,145,162
928,Blanco,126,52,255
929,No blanco,130,182,162
930,Blanco,197,25,255
931,Blanco,126,217,255
932,Blanco,30,20,255
933,No blanco,175,161,162
934,Blanco,26,127,255
935,No blanco,53,125,158
936,Blanco,223,209,255
937,No blanco,178,158,162
938,Blanco,32,10,255
939,No blanco,109,45,162
940,Blanco,62,208,255
941,Blanco,182,19,255
942,No blanco,159,171,162
943,Blanco,172,189,255
944,Blanco,42,164,255
945,Blanco,12,147,255
946,Blanco,35,181,255
947,Blanco,48,139,255
948,Blanco,138,2,255
949,Blanco,191,74,255
950,No blanco,91,126,162
951,Blanco,175,203,255
952,Blanco,29,188,255
953,No blanco,87,90,162
954,Blanco,38,191,255
955,Blanco,88,43,255
956,Blanco,138,3,255
957,Blanco,165,202,255
958,Blanco,170,224,255
959,No blanco,93,140,162
960,No blanco,121,104,162
961,No blanco,162,139,162
962,No blanco,155,158,162
963,Blanco,64,97,255
964,Blanco,5,30,255
965,Blanco,127,53,255
966,Blanco,202,147,255
967,Blanco,14,121,255
968,Blanco,204,100,255
969,No blanco,150,169,162
970,Blanco,34,158,255
971,Blanco,9,37,255
972,Blanco,180,7,255
973,No blanco,174,141,162
974,Blanco,81,2,255
975,Blanco,1,163,255
976,Blanco,48,97,255
977,No blanco,148,164,162
978,Blanco,207,129,255
979,Blanco,99,12,255
980,Blanco,215,219,255
981,Blanco,33,109,255
982,No blanco,116,165,162
983,Blanco,48,37,255
984,Blanco,161,27,255
985,Blanco,208,127,255
986,No blanco,98,131,162
987,Blanco,224,111,255
988,Blanco,5,145,255
989,Blanco,121,221,255
990,Blanco,67,131,253
991,Blanco,113,35,255
992,Blanco,36,214,255
993,Blanco,56,99,255
994,Blanco,45,107,253
995,Blanco,113,196,254
996,No blanco,144,109,162
997,No blanco,60,114,162
998,Blanco,78,203,255
999,Blanco,57,11,255
1000,Blanco,5,46,255
1001,Blanco,54,96,255
1002,Blanco,25,118,255
1003,No blanco,132,169,162
1004,Blanco,28,176,255
1005,Blanco,82,198,254
1006,No blanco,114,97,162
1007,Blanco,214,11,255
1008,Blanco,85,54,255
1009,Blanco,38,141,255
1010,Blanco,47,206,255
1011,Blanco,56,68,255
1012,No blanco,138,144,162
1013,Blanco,195,196,255
1014,Blanco,179,23,255
1015,Blanco,160,7,255
1016,Blanco,33,39,255
1017,Blanco,17,62,255
1018,Blanco,185,180,255
1019,No blanco,178,112,162
1020,No blanco,127,115,162
1021,Blanco,38,193,255
1022,Blanco,202,191,255
1023,No blanco,47,119,162
1024,Blanco,9,202,255
1025,Blanco,5,29,255
1026,Blanco,91,46,255
1027,Blanco,100,203,255
1028,Blanco,139,4,255
1029,Blanco,93,25,255
1030,Blanco,83,216,255
1031,Blanco,16,161,255
1032,Blanco,209,0,255
1033,Blanco,202,204,255
1034,Blanco,40,103,255
1035,Blanco,61,50,255
1036,No blanco,153,64,162
1037,No blanco,155,120,162
1038,Blanco,6,44,255
1039,No blanco,116,78,162
1040,Blanco,122,38,255
1041,No blanco,135,150,162
1042,Blanco,222,206,255
1043,Blanco,131,30,255
1044,No blanco,99,161,162
1045,Blanco,131,27,255
1046,Blanco,13,193,255
1047,Blanco,215,109,255
1048,Blanco,9,64,255
1049,Blanco,29,133,255
1050,Blanco,105,10,255
1051,Blanco,143,210,255
1052,Blanco,201,163,255
1053,Blanco,217,132,255
1054,Blanco,15,43,255
1055,Blanco,216,42,255
1056,Blanco,21,47,255
1057,Blanco,22,170,255
1058,Blanco,47,47,255
1059,Blanco,0,65,255
1060,No blanco,107,149,162
1061,Blanco,163,57,255
1062,Blanco,211,217,255
1063,Blanco,92,221,255
1064,No blanco,172,81,162
1065,Blanco,216,74,255
1066,Blanco,13,151,255
